AFDeviceId,Imei,Active,Comment,AddressableId,Contract,Notes,LastSeen,FirstSeen,Status,Billing,Manufacturer,Model,TimeZone,SerialNumber,InstallationDate,ExpectedReportingFrequencyHours,DataAllowanceMb,MessageAllowance,HomeGeoFenceId,DeviceTypeId,Guid,Customer,CustomerId,CustomerGuid,Partner,PartnerId,Id,LastUpdated,UpdatedBy
1,864502037822053,False,,864502037822053,,,,,0,,,,,90102890,2023-01-01T00:00:00+00:00,,,,,,d1be4659-50af-4779-ab0e-527d306362fb,Customer ID 312,7,dab1096f-0142-430b-8c7d-7296fe0b57d8,Smart Asset Manager,1,198,2022-03-18T15:47:12.5850186+00:00,
2,864502035678713,False,,864502035678713,,,,,0,,,,,90102893,2023-01-01T00:00:00+00:00,,,,,,2ff9424a-cb12-4779-8a58-c1a2e09a7367,Customer ID 312,7,dab1096f-0142-430b-8c7d-7296fe0b57d8,Smart Asset Manager,1,199,2022-03-18T15:45:18.7499139+00:00,
3,864502037856770,False,,864502037856770,,,,,0,,,,,90102911,2023-01-01T00:00:00+00:00,,,,,,1545020e-44bd-46e0-9112-c2e16b72c503,Customer ID 312,7,dab1096f-0142-430b-8c7d-7296fe0b57d8,Smart Asset Manager,1,200,2022-03-18T15:45:01.2374086+00:00,
4,864502035698430,False,,864502035698430,,,,,0,,,,,90102910,2023-01-01T00:00:00+00:00,,,,,,c526a8a7-405b-4cbe-b3e1-97a8b349f527,Customer ID 312,7,dab1096f-0142-430b-8c7d-7296fe0b57d8,Smart Asset Manager,1,202,2022-03-18T15:44:46.4734755+00:00,
5,864502037759719,False,,864502037759719,,,,,0,,,,,90102891,2023-01-01T00:00:00+00:00,,,,,,c64d6c17-3bd8-4dc5-8adc-a1c58a54351b,Customer ID 312,7,dab1096f-0142-430b-8c7d-7296fe0b57d8,Smart Asset Manager,1,203,2022-03-18T15:44:28.5012408+00:00,
6,356363058078017,False,,356363058078017,,,,,0,,,,,00151511,2023-01-01T00:00:00+00:00,,,,,,7d1afc70-e449-4619-a6eb-ce8990dc9346,Customer ID 312,7,dab1096f-0142-430b-8c7d-7296fe0b57d8,Smart Asset Manager,1,209,2021-12-05T13:40:33.3286295+00:00,
7,356363058072663,False,,356363058072663,,,,,0,,,,,00151515,2023-01-01T00:00:00+00:00,,,,,,f7a82da2-0f18-4b89-b7e8-467c66570e0f,Customer ID 312,7,dab1096f-0142-430b-8c7d-7296fe0b57d8,Smart Asset Manager,1,210,2021-12-05T13:37:36.5514704+00:00,
8,357520073929909,False,,357520073929909,,,,,0,,,,,90103016,2023-01-01T00:00:00+00:00,,,,,,f9df6261-e471-4684-bef1-946a11d0f069,Customer ID 312,7,dab1096f-0142-430b-8c7d-7296fe0b57d8,Smart Asset Manager,1,211,2021-12-05T13:38:58.3893038+00:00,
9,356363058066418,False,,356363058066418,,,,,0,,,,,00151506,2023-01-01T00:00:00+00:00,,,,,,accb468d-1828-4b95-8aa7-c567c73b794c,Customer ID 312,7,dab1096f-0142-430b-8c7d-7296fe0b57d8,Smart Asset Manager,1,212,2021-12-05T13:36:45.1652095+00:00,
10,356363058077332,False,,356363058077332,,,,,0,,,,,00151513,2023-01-01T00:00:00+00:00,,,,,,99324a25-0f96-42b5-9b5c-9ca442bff980,Customer ID 312,7,dab1096f-0142-430b-8c7d-7296fe0b57d8,Smart Asset Manager,1,213,2021-12-05T13:37:18.7918344+00:00,
